M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/String:equals(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/util/HashMap:size()
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/Integer:equals(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/Long:equals(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/util/Date:equals(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/sql/Date:equals(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(I)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(J)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(F)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(D)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(C)
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:toString()
M:Lspec/benchmarks/serial/data/TestParent:equals(Ljava/lang/Object,) (S)Ljava/lang/System:identityHashCode(Ljava/lang/Object)
C:Lspec/benchmarks/serial/data/TestPayload Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestPayload:<init>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestPayload Ljava/util/Random
M:Lspec/benchmarks/serial/data/TestPayload:<init>() (D)Ljava/util/Random:<init>()
M:Lspec/benchmarks/serial/data/TestPayload:<init>() (M)Ljava/util/Random:nextInt()
C:Lspec/benchmarks/serial/data/TestPayload Lspec/benchmarks/serial/data/TestPayload
M:Lspec/benchmarks/serial/data/TestPayload:<init>() (D)Lspec/benchmarks/serial/data/TestPayload:<init>(Ljava/lang/String,I)
M:Lspec/benchmarks/serial/data/TestPayload:<init>() (M)Lspec/benchmarks/serial/data/TestPayload:setChild(Lspec/benchmarks/serial/data/TestPayload)
M:Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object,) (M)Lspec/benchmarks/serial/data/TestPayload:getChild()
M:Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object,) (M)Lspec/benchmarks/serial/data/TestPayload:getIdentity()
C:Lspec/benchmarks/serial/data/TestPayload Ljava/lang/String
M:Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object,) (M)Ljava/lang/String:equals(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object,) (M)Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object)
C:Lspec/benchmarks/serial/data/TestPayload Ljava/lang/StringBuilder
M:Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object,) (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
M:Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(I)
M:Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:toString()
M:Lspec/benchmarks/serial/data/TestPayload:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(Ljava/lang/Object)
C:Lspec/benchmarks/serial/data/TestProxy Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestProxy:<init>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestProxy Ljava/util/Random
M:Lspec/benchmarks/serial/data/TestProxy:<init>() (D)Ljava/util/Random:<init>()
M:Lspec/benchmarks/serial/data/TestProxy:<init>() (M)Ljava/util/Random:nextInt()
C:Lspec/benchmarks/serial/data/TestProxy Lspec/benchmarks/serial/data/ProxiedClass
M:Lspec/benchmarks/serial/data/TestProxy:<init>() (S)Lspec/benchmarks/serial/data/ProxiedClass:createMyProxy(II)
C:Lspec/benchmarks/serial/data/TestProxy Lspec/benchmarks/serial/data/TestProxy
M:Lspec/benchmarks/serial/data/TestProxy:<init>() (D)Lspec/benchmarks/serial/data/TestProxy:<init>()
C:Lspec/benchmarks/serial/data/TestProxy Lspec/benchmarks/serial/data/InterfaceForProxy
